Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.8471,-0.0731,-7.944%,35394027.00,United States,2007,1729171,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$53.00,-0.99,-1.834%,193592888.00,United States,,3829,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.17,0.06,2.844%,34226151.00,United States,2017,13404,Energy,Oilfield Services/Equipment
NG,Novagold Resources Inc.,$8.15,-0.12,-1.451%,2700263053.00,Canada,,1359457,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.64,0.04,2.50%,1116020000.00,Canada,,7669098,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$76.73,2.46,3.312%,1179343323.00,United States,,40737,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.38,-0.01,-0.081%,241912442.00,United States,,47939,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$4.13,0.01,0.243%,234001373.00,,2013,169410,,
NNVC,NanoViricides Inc. Common Stock,$4.97,-0.33,-6.226%,53064690.00,United States,,1064263,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$13.76,-1.12,-7.527%,829492745.00,United States,,1383060,,
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.29,0.01,0.234%,203433520.00,United States,2003,309167,,
NSPR,InspireMD Inc. Common Stock,$0.7924,0.0616,8.429%,88109393.00,Israel,,8350151,Health Care,Medical/Dental Instruments
NTIP,Network-1 Technologies Inc. Common Stock,$3.27,0.27,9.00%,78588159.00,United States,,20356,Miscellaneous,Multi-Sector Companies
NTN,NTN Buzztime Inc. Common Stock,$3.13,0.04,1.294%,9284588.00,United States,,759064,Health Care,Major Pharmaceuticals
NXE,Nexgen Energy Ltd. Common Shares,$3.12,-0.31,-9.038%,1192922241.00,,,2682651,Basic Industries,Precious Metals
OGEN,Oragenics Inc. Common Stock,$0.8447,0.0247,3.012%,92618077.00,United States,,4070686,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$3.54,0.12,3.509%,810539640.00,,2020,951203,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.46,0.48,1.656%,,United States,,2240,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$27.30,0.77,2.902%,,United States,,1134,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$24.50,0.00,0.00%,,United States,,25,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$24.51,0.4799,1.997%,,United States,,146,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.37,-0.04,-0.164%,,United States,,105,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.68,0.00,0.00%,,United States,,2,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$23.70,0.00,0.00%,,United States,,50,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$23.50,0.00,0.00%,,United States,,1,,
PED,Pedevco Corp. Common Stock,$1.43,-0.03,-2.055%,113625326.00,United States,,778507,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$6.82,-0.22,-3.125%,158544895.00,,2019,49482,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$2.34,0.08,3.54%,37270970.00,China,,49242,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$3.50,-0.14,-3.846%,258403695.00,Canada,,489280,Basic Industries,Precious Metals
